vehicle_slug,vehicle_name,wiki_image_url,wiki_url,checked_at,status,error
fr_amx_13_fl_11,AMX-13 (FL11),https://static.encyclopedia.warthunder.com/images/fr_amx_13_fl_11.png,https://wiki.warthunder.com/unit/fr_amx_13_fl_11,2026-07-02T18:34:01.490965+00:00,ok,
fr_amx_13_hot,AMX-13 (HOT),https://static.encyclopedia.warthunder.com/images/fr_amx_13_hot.png,https://wiki.warthunder.com/unit/fr_amx_13_hot,2026-07-02T18:34:03.817534+00:00,ok,
fr_amx_30,AMX-30,https://static.encyclopedia.warthunder.com/images/fr_amx_30.png,https://wiki.warthunder.com/unit/fr_amx_30,2026-07-02T18:34:05.914859+00:00,ok,
fr_amx_30_1972,AMX-30 (1972),https://static.encyclopedia.warthunder.com/images/fr_amx_30_1972.png,https://wiki.warthunder.com/unit/fr_amx_30_1972,2026-07-02T18:34:08.027703+00:00,ok,
fr_amx_30_ACRA,AMX-30 ACRA,https://static.encyclopedia.warthunder.com/images/fr_amx_30_acra.png,https://wiki.warthunder.com/unit/fr_amx_30_ACRA,2026-07-02T18:34:10.630494+00:00,ok,
fr_amx_30_auf_1,AuF1,https://static.encyclopedia.warthunder.com/images/fr_amx_30_auf_1.png,https://wiki.warthunder.com/unit/fr_amx_30_auf_1,2026-07-02T18:34:13.122736+00:00,ok,
fr_amx_30_b2,AMX-30B2,https://static.encyclopedia.warthunder.com/images/fr_amx_30_b2.png,https://wiki.warthunder.com/unit/fr_amx_30_b2,2026-07-02T18:34:15.703811+00:00,ok,
fr_amx_30_b2_brenus,AMX-30B2 BRENUS,https://static.encyclopedia.warthunder.com/images/fr_amx_30_b2_brenus.png,https://wiki.warthunder.com/unit/fr_amx_30_b2_brenus,2026-07-02T18:34:18.374207+00:00,ok,
fr_amx_30_dca,AMX-30 DCA,https://static.encyclopedia.warthunder.com/images/fr_amx_30_dca.png,https://wiki.warthunder.com/unit/fr_amx_30_dca,2026-07-02T18:34:20.454209+00:00,ok,
fr_amx_30_roland,Roland 1,https://static.encyclopedia.warthunder.com/images/fr_amx_30_roland.png,https://wiki.warthunder.com/unit/fr_amx_30_roland,2026-07-02T18:34:22.684057+00:00,ok,
fr_amx_30_super,AMX-30 Super,https://static.encyclopedia.warthunder.com/images/fr_amx_30_super.png,https://wiki.warthunder.com/unit/fr_amx_30_super,2026-07-02T18:34:25.133561+00:00,ok,
fr_amx_32,AMX-32,https://static.encyclopedia.warthunder.com/images/fr_amx_32.png,https://wiki.warthunder.com/unit/fr_amx_32,2026-07-02T18:34:27.512756+00:00,ok,
fr_amx_32_105,AMX-32 (105),https://static.encyclopedia.warthunder.com/images/fr_amx_32_105.png,https://wiki.warthunder.com/unit/fr_amx_32_105,2026-07-02T18:34:29.537358+00:00,ok,
fr_amx_40,AMX-40,https://static.encyclopedia.warthunder.com/images/fr_amx_40.png,https://wiki.warthunder.com/unit/fr_amx_40,2026-07-02T18:34:31.806911+00:00,ok,
fr_amx_50,AMX-50 (TOA100),https://static.encyclopedia.warthunder.com/images/fr_amx_50.png,https://wiki.warthunder.com/unit/fr_amx_50,2026-07-02T18:34:33.948814+00:00,ok,
fr_amx_50_1950,AMX-50 (TO90/930),https://static.encyclopedia.warthunder.com/images/fr_amx_50_1950.png,https://wiki.warthunder.com/unit/fr_amx_50_1950,2026-07-02T18:34:35.948887+00:00,ok,
